Date,Time,Open,High,Low,Close,Volume,Openint
2024-12-25,16:00:00,7.4905,7.55092,7.35283,7.53014,1423385.2347224
2024-12-25,20:00:00,7.53554,7.53936,7.35324,7.46732,1090450.6399883
2024-12-25,23:59:00,7.46136,7.57342,7.40994,7.49025,1383382.4609545
2024-12-26,04:00:00,7.48895,7.58592,7.38031,7.38267,1322732.5589053
2024-12-26,08:00:00,7.38267,7.38275,7.22617,7.25214,937935.01553502
2024-12-26,12:00:00,7.25207,7.25374,6.93093,6.99817,1780650.5346233
2024-12-26,16:00:00,6.99518,7.08514,6.93323,6.97063,2067519.9159664
2024-12-26,20:00:00,6.96891,7.04793,6.87545,6.9743,1359613.3768858
2024-12-26,23:59:00,6.974,7.03485,6.87461,6.9973,990717.57057588
2024-12-27,04:00:00,6.99443,7.05675,6.86435,6.98687,1197520.2922584
2024-12-27,08:00:00,6.98966,7.07784,6.92565,7.07784,968030.8222109
2024-12-27,12:00:00,7.07894,7.30029,6.88457,7.17098,1819338.3152588
2024-12-27,16:00:00,7.1775,7.22688,6.91394,6.96773,1300820.1301921
2024-12-27,20:00:00,6.97229,7.05778,6.80534,7.02834,1846765.5272944
2024-12-27,23:59:00,7.02562,7.02626,6.87109,6.88354,886145.212943
2024-12-28,04:00:00,6.88224,6.92833,6.82326,6.86014,1224818.6810373
2024-12-28,08:00:00,6.86144,6.92821,6.83864,6.83927,634384.08464874
2024-12-28,12:00:00,6.84306,6.88541,6.78549,6.84589,1239444.9579335
2024-12-28,16:00:00,6.84459,7.04492,6.82712,6.9247,1321685.1778036
2024-12-28,20:00:00,6.9243,7.11049,6.9243,7.0332,951641.5737213
2024-12-28,23:59:00,7.03038,7.16982,7.01544,7.14514,758455.58912787
2024-12-29,04:00:00,7.14384,7.14494,7.02148,7.09023,1008264.5531897
2024-12-29,08:00:00,7.08883,7.12149,7.02514,7.09598,711431.32100227
2024-12-29,12:00:00,7.09857,7.13921,7.05018,7.07368,904520.59491615
2024-12-29,16:00:00,7.07347,7.09486,6.93657,6.99681,1246079.6155973
2024-12-29,20:00:00,6.9891,7.00853,6.87318,6.90777,1386088.127711
2024-12-29,23:59:00,6.91017,6.92662,6.79765,6.82633,1005253.8684326
2024-12-30,04:00:00,6.82247,7.09151,6.80603,6.99775,1168962.9350798
2024-12-30,08:00:00,6.99775,7.04275,6.88526,6.97454,1310289.7881934
2024-12-30,12:00:00,6.97454,6.99715,6.81659,6.82062,1047904.7960683
2024-12-30,16:00:00,6.82058,6.93378,6.56247,6.61472,2636961.2517443
2024-12-30,20:00:00,6.61472,6.87589,6.52767,6.84775,1732109.6769259
2024-12-30,23:59:00,6.84775,6.93545,6.61349,6.69706,1687510.677349
2024-12-31,04:00:00,6.70058,6.71176,6.57657,6.64056,784221.81870654
2024-12-31,08:00:00,6.64013,6.64904,6.55482,6.58586,711969.83572774
2024-12-31,12:00:00,6.5872,6.79399,6.57149,6.68462,1216457.6093572
2024-12-31,16:00:00,6.68222,6.91688,6.66219,6.85103,1368147.0837232
